FileName,FileSize,ResultHash,RefTime[us],NeonTime[us],ratio
0.bin,2219070,454ca70b06baef8a23f2d1ad666c74dffde7f74297acdd4fd268c670b99734cb,21892,3046,7.18713
1.bin,5602555,1540745d99e91b91a18f5683f5a0df7c3b1919a0076e0cddb79cf339ae48a133,55209,7706,7.16442
2.bin,10214413,a4e92e38dd9ddd0ae0717ca07692b42d310caa18d70af21e2865f37f30cdf1c4,100390,14037,7.15181
3.bin,11961618,4fe3833787d83d5349ee3b28ba7269bff1ef8195cea61115749c66634709677b,117874,16441,7.16952
4.bin,11039688,8f6d78d707c95ae27a670c300685568a94752c426dd125345728281cb384022b,108730,15178,7.16366
5.bin,3688786,efc06b7116c70ca08c05b4bfe72e5a3d4e0fd058f3dd933c6e76374923eaa6ad,36296,5064,7.16746
6.bin,15129275,e6c87890a76099cc75cc55c925e60d58f902a91878e452323d5200a7ff8e1003,149005,20790,7.16715
7.bin,3547593,6f4b919700cfabce66f5a18e3f339726ec38cea930e8b4ffdc6bea9d131fc63c,34929,4869,7.17375
8.bin,12868125,556742a8411f518c481dec116acdbad5b56d8e7ec8099b5a2e57e521b2905b59,126759,17699,7.16193
9.bin,10609196,db863489a7bfd4559b16ffded024b9720320b03f91971eb31a80f8d0b05fb8a4,104500,14577,7.16883
10.bin,15830288,1084b22e673814eb66c384027ec04ba693d666d49f00ed64ef11764f2817bec2,155487,21744,7.1508
11.bin,1297715,7faf9b771b316f7cbe4efd347e1e921024a526312b77b87df717801838ea0b90,12789,1783,7.17274
12.bin,15084554,34848c87cdb280e8f3823b393800560281e6b107750cd2acba741efb2e6fa86b,148538,20717,7.16986
13.bin,12840627,3d61da93471d904de813a30fb7b291f4b4dcc02b21b83143f10ffa9f69f73178,126472,17636,7.17124
14.bin,14066011,fcb5b15ee63eb1023edf8cf3c821cd5a4eda7a53dd3de435e4102e3723712585,138532,19325,7.16854
15.bin,547043,fb1e8952fcdeeb1dbedf31a679501d3a88533cea2c000a8386ebf016f4e93b1b,5456,761,7.16951
16.bin,11746155,9a86b22955bb916550eebf9c9d67a278ee5fdd2e2a701d08e6bf084375931fe7,115854,16135,7.18029
17.bin,5492488,8a6c163910eaa02b8ecfa43f45a9898cb096787362a014d5f9071d0b73c0b707,54157,7583,7.1419
18.bin,16650803,27e6dd74950cb784e80dd77b314fc607a205d3804a76736c45c4cd548b07c7cb,163643,22872,7.15473
19.bin,13199714,89b3dc4edcc6a87adc3cf65840d74eeb9c816599d30d3dd3916b49c018842d3c,130341,18207,7.15884
20.bin,13554629,85d16562029bf224e6df2a8b5b548cc9d5e816cd7924acee70b82b388fbf824a,134244,18698,7.17959
21.bin,12115049,28f9b3688ac7b2dab0dd168033f7ac11bc3fa544186da9d58826afdbabddb5d8,119608,16642,7.18712
22.bin,9027464,01948b6ff69f0ee3e031a256b8245d8ff3661a00f9e30c509d88ddd3e2e19961,88955,12397,7.17553
23.bin,629311,48ca30bf5ba347040ee8298e2a9798caadf391bde565d8292579d2aa23aa2655,6204,865,7.17225
24.bin,12426319,4fa95dea92a320f66631fa85088b65e888cbdd786ed717f1080c5c268d09f5c9,122448,17065,7.17539
25.bin,16003193,535f9a830fcfc6409985a18892b40e1a1e5dfca9462dc02db2fa59c190015e82,157667,21987,7.17092
26.bin,7232107,381c072d57437b8949d644e9655d8d74397b9b88c9f49092dffaf7a6d2222bbd,71286,9945,7.16802
27.bin,5143788,7624f4b49a642c85276f51dcbf73657e1dc7f2d887d4764004f4db5968d00bc7,50670,7070,7.1669
28.bin,16620914,77c7fc8c0fef8ab4755ac0a376ee96cfe8963718371372af58bb5f016470ffa1,163690,22842,7.16619
29.bin,9795390,549021a9f7aa2666413e6b9aa2ab33c365651ad22f388ae45ab6f51c49387266,96504,13466,7.16649
30.bin,4911466,f74d48c4fd57b1f30bbe401eed5384a02978d6eebc2e4fcc6265eefdc00e8204,48393,6743,7.17678
31.bin,8876764,1176dcf6ad524993c8deb3d37dad3c54f8be1908201643174faeaa3c37da0e4e,87401,12191,7.16931
32.bin,10720265,721adfdeffea659ce13fd123c42434c6532101d52afdc3d4283337199870fee8,105622,14739,7.16616
33.bin,10431790,f4bbfdad929afbf5c1db2fb81bb7b5090f1344e73e689b3839619c3f5a4f659d,102869,14337,7.17507
34.bin,14648705,98da5d7a68ee4715f6e0f9d5e6605b109bc2e4ee8921ace3c4f899ee413daeda,144351,20122,7.17379
35.bin,2775273,5d077df4cc42412252549211f9998f3a79bec7cccf0e993c684fa7bb486e20e7,27325,3824,7.14566
36.bin,3096345,e543468ec36edb26e468c7c587c839551928b4304fe30c8f393317f57508f9ec,30497,4252,7.17239
37.bin,3740443,71e897ff84eab7c2c9690b0825a9f9d1a3da7ed67f4e7d0d47a4383f55872c59,36834,5134,7.17452
38.bin,12045145,8d75d5f1c3f74bcc01fa63a9185229d6c091669e0bffcded61df7473f7dd9746,118377,16551,7.15226
39.bin,1814538,ca9814520d8f553e033bb8d1a8ff3e19dd22eb024a8bcb0fb293488426ce382b,17878,2492,7.17416
40.bin,5282530,d1e9dce8e180dd4f4d8a0327a31bcecd208cb039b4e3e2759342096f46f44b8e,52045,7251,7.17763
41.bin,11496501,26d74ebdd4bd903395062846a1024647bd6ba12342605c392e9061ab839f5f82,113233,15800,7.16665
42.bin,14056948,fe6b965ec6f9b6116b5892cc325d055fc34918296a765126f1477f4dd8a49c49,138450,19315,7.168
43.bin,12810790,653cb5f024dc8f4883c202b0b621dd5e5a4618af4a29578bf7a3cb74db56dd43,125912,17609,7.15043
44.bin,15246617,d4c8370fdabf922af10872f27cf2f6db8850b6594bf2ad1a33237025b5071129,149854,20937,7.15738
45.bin,7838250,284f6df142148dc0e7bea81e556738a521098df213db28874ca387948ec54a22,77249,10764,7.17661
46.bin,6673231,ba382d22a9827aebcd221ebe949263407f440cbded0dc6ce0b7640a8ff605c39,65740,9163,7.17451
47.bin,13540931,eb5324c69d16c1dc9c8021d22d1fb0d789c0893bd4c1e4794ed49bdc190b53d0,133041,18592,7.15582
48.bin,1208428,ea4819f5e391c7b86bd4702094dbed6f0d745f833caaa660fd48d44ad3a2cb55,11891,1662,7.15463
49.bin,12327864,b53646387643513b979ca63a2843328b9e0c502de0ac6d0614f41e5fb7c8cf28,121515,16942,7.17241
50.bin,8371664,da1d4823cbe0459a82c1b8ea15b286ca8f7f062420689b6e30618e14eb8bc641,82537,11502,7.17588
51.bin,11527678,8fe841e77dbb4e9a47568e7ed92174d2afcc4e6b4df579838adeb17d30376231,113623,15847,7.17
52.bin,14962956,3010cde234e6b647e87c16bd0d256bdf2d4295c3871b889d6e42bcafd44872ee,147417,20553,7.17253
53.bin,15510582,4d8a66015f3a08737c6cf6f7d31dee22702555a41877960d1773f3b36edb1e4a,153559,21306,7.20731
54.bin,645548,5fb69b2e64d696590665cfec0a2c613074f643f3daaef9b257f33e981ab81174,6366,901,7.06548
55.bin,2416795,283f6bf4605277314c65fa8a00d29ef98984bf10a71c3634a3d5a4dcb41458fd,23811,3330,7.15045
56.bin,9702537,6b5ac18ef3ebb43995490c18c8a1c98564d5eea41716b62ca5ee292ffae2cbff,95408,13329,7.15793
57.bin,16511350,6be40bece6747d5183cb228e39b9cf78d0c6de64a2bf3c7296c5617f2e59e71e,162656,22679,7.1721
58.bin,14211472,2120ccfeedbcb2898c76661540e753cd6ba58fe54c63dd558a967e3a17ce8126,140208,19528,7.17984
59.bin,13909696,034170d839701591bfa98f9e2eb614414b60a7f2a0e75690ecf35da25f422319,137093,19162,7.15442
60.bin,16385226,12e4536bf592609ca17df055e82670764d4da64908ba51817e640f35cc5e4fb4,161407,22505,7.17205
61.bin,4901007,fed2bd7a5b5ca50287a3240c45c753f7fca2649277673797b74c81f66e39dfa5,48309,6736,7.17176
62.bin,6805086,605ac97140d1d1673c0c93b1797351258339b27126374a8d7be00f7444f43171,67104,9361,7.16846
63.bin,8344424,cf5fff0c42f7e6d2cb6d8744fcfd86fa098522931dfad8ed69bd08f1db727dd0,82014,11461,7.15592
64.bin,16176104,77858591e32fac59ad3833592e4f3d71f21161d348f6e692d2a84701f5b0aa2f,159063,22238,7.15276
65.bin,9132436,8b2cb06fb59fa7fa674b5326e49d8417e865d340b05af8b6fef4d959095d1522,89809,12612,7.12092
66.bin,1217182,2563f49f79f61fc931d744c15eb3802f0ed1c9eb3d559af7a6ada723480e8a62,12067,1673,7.21279
67.bin,5298002,01c2388c94c66f8f31fb35c69eb4e4095691d757cc78abec501f2e3786eead46,52219,7273,7.17984
68.bin,3959222,9d16e7cf61c03045e834aaea776682fe77f59ca010a6083aea517aa6287cb0fd,39001,5434,7.17722
69.bin,15541036,ac027d44120a52a214a5b1e93b599d548f4c6f913b496c3f490fccd7c73820d8,152879,21338,7.16464
70.bin,2249389,cfa32cf9a459dadfd132d39a699e74140be69867031b7367a120283166661050,22212,3088,7.19301
71.bin,10212511,0928087a1c0895959b864d20541fe2455e142aaafe0f763002a8e0da6eec59ec,100848,14032,7.187
72.bin,14210831,64d7c21cdc8a5e01b27006a219afda83f375bb04b181c9b5db0daf80662bf66b,139623,19538,7.14623
73.bin,7667904,6643298a2e7a9300d6a909fbeff90b5314b8ac7258b32339ced8a3eb86115628,75574,10529,7.1777
74.bin,1604035,6a9aed3730e2f3edcf67f18ba61d44c0a2c971c838778035354546c2dcc58145,15816,2205,7.17279
75.bin,13982597,24b9d07446df293b8393ba538d27299cc0aa41eef6e0f61f67d5c1556267cb1c,137790,19238,7.16239
76.bin,12339621,13b1b62ddf10fc359f2df6d20796666c9789b5facb67650afd22fcd89af1612e,121583,16977,7.16163
77.bin,6974253,d2177f64c319a52aa45b2e20dff92d702e13845a000d84213a25116b32da4666,68719,9592,7.1642
78.bin,1926097,ccd94f888fdb6c2b969804094b8cfc2573b04c0084a4b042800a753e1900190a,18980,2661,7.13266
79.bin,5122993,05cb50f82adf8a7b31e5ad0d376d51233354798351f398a6cd4b3427082b8e43,51532,7131,7.22648
80.bin,11820035,ef5d5705206256688c7e47cbf9be8d2807db90358efaf35a12148dd114e1aaa6,118109,16839,7.01402
81.bin,2971921,fde241d9b39fb983fe21e7ce1f0d1330754f1bae84f622c33fd2710f8276c6cb,29862,4121,7.2463
82.bin,12986906,dae757a56baf131b478c99bbc9024690a439c267dba69f14907f53ee84510926,129644,18325,7.07471
83.bin,12060107,fecf2c7f04f5db5206a6eda0b54e27004ff860504a35ad9ea0af02640e327028,120759,17077,7.07144
84.bin,5698852,1aa2a2e7de60ec2718d5b462dc144e5bcc64d42ce52058aa37b97e14cac007d6,58533,7847,7.45928
85.bin,8371619,315957370682acb1671d0fb2d4822176e8ed49e8cb4c4138aa6e9ac98c3d1472,82520,11509,7.17004
86.bin,14240933,3fd9534dc7709a49b976f16c04b7859c139feed2b1fd2fa580e98b6ebac25a15,140361,19567,7.17335
87.bin,15516054,d8383b9df404cf29c5c5efddbc96fb6b78ec86e08cc057fcdaad9cdab3826b8d,152440,21314,7.15211
88.bin,14014583,c534247c44732943b72c9495169e5afad972031be051027d9951a4f8f72889cf,138053,19260,7.16786
89.bin,13093308,fbe34e3b169239b3aa061e2c3e5cef5c28cda1cf3abb4b3d40954c18516d43d1,128671,17987,7.15356
90.bin,4282737,25b610d6c5f3a8898870a78c323b4f72f57d3d0f9304905d2db09610556485ae,42096,5881,7.15797
91.bin,15660366,7b2ca21741e54afede40ac1f5514834797e87c3cbce67925f89cd159053368c3,154290,21513,7.17194
92.bin,5749414,81792381c6477ab520bc59ebd4f87fa99b5ee1f6a58ca631872e394f3ff858fc,56654,7904,7.16776
93.bin,15572383,396ec6e086de961388949f6c2c322e1cf2136f76a9a25674e078617118bebb06,152991,21396,7.15045
94.bin,13297778,b2ce431a1cef207a4a9626bed10a9c3d9bd07a68431acb304e8fb9bad750dcc6,131071,18279,7.17058
95.bin,1444611,eca1b7f533072c1d5360e97304bb6c8e5190a0837ec16a9511625f8fb659f6d1,14213,1984,7.16381
96.bin,5138134,2dba7ce10fbd802dabe5af0e1c9378a6b010512bb86a6e2a855e7f0235c5fbf9,50686,7061,7.1783
97.bin,16361647,a2658397aff9917eeac814a45036ffa868f178ce7723bae8ef20ac364b75a2e6,161202,22493,7.16676
98.bin,7380676,af3b8516cd340b924593974eb30641f89970dfdc27049247390b69674594727d,72728,10144,7.16956
99.bin,15870744,8a52c242ad181bf8d8e9d6b0e4c359ce28efa4d05275975f1e82f214afb298b6,156325,21798,7.17153
100.bin,11928169,99e3a5391fc13e00f1adb1fb33a57bc08047f56397b8244bda1a8923231a6591,117792,16396,7.18419
101.bin,5869965,09a3a9dd14e0081449231b5d54671d3ec069aed606b5a67705bae392058c88f8,58143,8148,7.13586
102.bin,6552860,17de1caead807b64a7e88d9d476cb16b878cf0ee8531551fee17fac111608da1,64704,9068,7.13542
103.bin,11733608,df5ed6113e7a7b7ab994eeae436072701779d560f3e1c3789a456636ca997f1c,115805,16126,7.18126
104.bin,6692285,35cb47c0ea8118fc218c7caa713aa7a826c57d1e8174cf09ad99862d164d694d,65940,9203,7.16505
105.bin,5875028,0efb5d3dbbde06ad1cb69b8e053a261ba677db3447a508d56d1f32fc7b7c7107,57868,8070,7.17076
106.bin,11901240,568be46fc0f633cefff0747b9e46e8dcec577cd84668cbc0a45c27fb6dd4c03b,117294,16352,7.17307
107.bin,5698835,3ef4ff18cb20922941dfe4c124fea6c1e2aa456a636bde94e685dc774e90bb3c,56146,7849,7.15327
108.bin,7727913,d947390484cf6bc2b9f243e86c5e232036981b9a2364e8b48a51d44f171cca50,76155,10624,7.1682
109.bin,11052901,c7d218112ad5fdc8cc1fc8d1e5cad1185a1a363a2491ac5d8b846e47f87b0a4e,108855,15186,7.16812
110.bin,10029481,580f200e8554d3169cc430c5a13bc265c6ddffbcaab7efcdec191e5fe812bc07,98820,13776,7.17334
